ÏñÔª	¹âÇ¿
2121	200
2122	201
2123	203
2124	203
2125	203
2126	203
2127	200
2128	197
2129	194
2130	188
2131	180
2132	173
2133	163
2134	152
2135	140
2136	129
2137	120
2138	109
2139	 99
2140	 91
2141	 86
2142	 79
2143	 74
2144	 70
2145	 68
2146	 65
2147	 64
2148	 61
2149	 60
2150	 56
2151	 55
2152	 56
2153	 57
2154	 58
2155	 57
2156	 58
2157	 60
2158	 64
2159	 70
2160	 76
2161	 85
2162	 97
2163	110
2164	125
2165	138
2166	147
2167	156
2168	163
2169	168
2170	175
2171	179
2172	182
2173	186
2174	189
2175	190
2176	189
2177	185
2178	177
2179	169
2180	159
2181	148
2182	136
2183	125
2184	113
2185	102
2186	 95
2187	 87
2188	 81
2189	 74
2190	 69
2191	 66
2192	 62
2193	 58
2194	 55
2195	 52
2196	 50
2197	 49
2198	 49
2199	 51
2200	 51
2201	 51
2202	 49
2203	 49
2204	 48
2205	 47
2206	 46
2207	 46
2208	 46
2209	 46
2210	 45
2211	 46
2212	 46
2213	 47
2214	 49
2215	 48
2216	 47
2217	 46
2218	 47
2219	 47
2220	 49
2221	 51
2222	 52
2223	 52
2224	 53
2225	 56
2226	 59
2227	 63
2228	 71
2229	 82
2230	 95
2231	106
2232	119
2233	130
2234	142
2235	151
2236	159
2237	168
2238	173
2239	178
2240	182
2241	185
2242	188
2243	189
2244	187
2245	183
2246	174
2247	165
2248	154
2249	142
2250	130
2251	119
2252	107
2253	 99
2254	 90
2255	 84
2256	 78
2257	 75
2258	 72
2259	 69
2260	 65
2261	 62
2262	 60
2263	 58
2264	 57
2265	 56
2266	 54
2267	 54
2268	 52
2269	 53
2270	 52
2271	 53
2272	 53
2273	 53
2274	 52
2275	 51
2276	 53
2277	 53
2278	 54
2279	 53
2280	 52
2281	 51
2282	 52
2283	 53
2284	 53
2285	 52
2286	 52
2287	 53
2288	 55
2289	 55
2290	 54
2291	 55
2292	 56
2293	 55
2294	 54
2295	 54
2296	 54
2297	 53
2298	 54
2299	 57
2300	 65
2301	 77
2302	 91
2303	106
2304	119
2305	132
2306	143
2307	153
2308	162
2309	171
2310	174
2311	179
2312	182
2313	189
2314	191
2315	195
2316	198
2317	200
2318	201
2319	203
2320	205
2321	206
2322	208
2323	207
2324	208
2325	210
2326	209
2327	209
2328	208
2329	208
2330	207
2331	207
2332	204
2333	201
2334	201
2335	201
2336	201
2337	199
2338	193
2339	186
2340	175
2341	163
2342	157
2343	149
2344	137
2345	125
2346	113
2347	104
2348	 96
2349	 91
2350	 86
2351	 81
2352	 75
2353	 70
2354	 67
2355	 64
2356	 63
2357	 64
2358	 64
2359	 64
2360	 63
2361	 62
2362	 59
2363	 59
2364	 59
2365	 61
2366	 63
2367	 69
2368	 75
2369	 86
2370	 97
2371	110
2372	123
2373	135
2374	146
2375	156
2376	163
2377	171
2378	177
2379	179
2380	182
2381	183
2382	182
2383	180
2384	177
2385	171
2386	164
2387	156
2388	148
2389	142
2390	134
2391	124
2392	112
2393	103
2394	 96
2395	 91
2396	 88
2397	 82
2398	 76
2399	 73
2400	 72
2401	 71
2402	 70
2403	 69
2404	 68
2405	 66
2406	 65
2407	 64
2408	 60
2409	 59
2410	 62
2411	 64
2412	 63
2413	 64
2414	 69
2415	 77
2416	 90
2417	104
2418	117
2419	129
2420	138
2421	146
2422	154
2423	162
2424	167
2425	173
2426	177
2427	182
2428	185
2429	187
2430	188
2431	189
2432	189
2433	191
2434	194
2435	194
2436	194
2437	194
2438	193
2439	194
2440	195
2441	197
2442	196
2443	197
2444	197
2445	196
2446	197
2447	198
2448	198
2449	197
2450	195
2451	194
2452	196
2453	197
2454	196
2455	198
2456	196
2457	197
2458	198
2459	197
2460	198
2461	199
2462	200
2463	199
2464	198
2465	199
2466	200
2467	200
2468	200
2469	202
2470	200
2471	198
2472	196
2473	197
2474	198
2475	199
2476	199
2477	201
2478	201
2479	200
2480	201
2481	200
2482	199
2483	199
2484	197
2485	198
2486	198
2487	196
2488	196
2489	196
2490	197
2491	197
2492	197
2493	197
2494	197
2495	197
2496	195
2497	195
2498	191
2499	186
2500	179
2501	169
2502	157
2503	146
2504	137
2505	126
2506	117
2507	108
2508	101
2509	 92
2510	 87
2511	 83
2512	 82
2513	 77
2514	 72
2515	 68
2516	 65
2517	 65
2518	 63
2519	 62
2520	 60
2521	 59
2522	 60
2523	 61
2524	 63
2525	 64
2526	 64
2527	 70
2528	 79
2529	 90
2530	 99
2531	109
2532	119
2533	128
2534	138
2535	146
2536	153
2537	159
2538	163
2539	167
2540	169
2541	171
2542	172
2543	173
2544	173
2545	170
2546	163
2547	156
2548	147
2549	137
2550	129
2551	123
2552	117
2553	109
2554	101
2555	 94
2556	 90
2557	 83
2558	 79
2559	 76
2560	 74
2561	 75
2562	 73
2563	 71
2564	 68
2565	 67
2566	 66
2567	 67
2568	 67
2569	 66
2570	 64
2571	 61
2572	 61
2573	 65
2574	 71
2575	 81
2576	 93
2577	107
2578	120
2579	130
2580	137
2581	147
2582	154
2583	159
2584	163
2585	168
2586	173
2587	175
2588	178
2589	181
2590	184
2591	186
2592	187
2593	190
2594	190
2595	192
2596	191
2597	192
2598	191
2599	193
2600	193
2601	194
2602	193
2603	194
2604	197
2605	199
2606	199
2607	199
2608	197
2609	198
2610	198
2611	198
2612	198
2613	199
2614	199
2615	201
2616	200
2617	201
2618	200
2619	201
2620	199
2621	201
2622	199
2623	199
2624	199
2625	200
2626	199
2627	199
2628	199
2629	198
2630	199
2631	199
2632	199
2633	200
2634	199
2635	199
2636	199
2637	198
2638	197
2639	197
2640	193
2641	195
2642	193
2643	192
2644	191
2645	191
2646	193
2647	193
2648	192
2649	195
2650	195
2651	194
2652	194
2653	195
2654	195
2655	193
2656	193
2657	193
2658	194
2659	195
2660	194
2661	195
2662	196
2663	195
2664	196
2665	196
2666	195
2667	195
2668	195
2669	194
2670	194
2671	195
2672	194
2673	194
2674	195
2675	194
2676	193
2677	193
2678	193
2679	193
2680	191
2681	191
2682	190
2683	191
2684	189
2685	188
2686	188
2687	188
2688	188
2689	187
2690	189
2691	190
2692	188
2693	189
2694	190
2695	188
2696	189
2697	188
2698	187
2699	189
2700	192
